neuron_id,neuron_name,archive,note,age_scale,gender,age_classification,species,strain,scientific_name,stain,experiment_condition,protocol,slicing_direction,reconstruction_software,objective_type,original_format,domain,attributes,magnification,shrinkage_reported,shrinkage_corrected,slicing_thickness,min_age,max_age,min_weight,max_weight,reference_doi,primary_brain_region,secondary_brain_region,tertiary_brain_region,primary_cell_class,secondary_cell_class,tertiary_cell_class,physical_integrity
1073,20o_pyramidal15aFI,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1098,21o_spindle15aFI,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,von economo neuron,not reported,dendrites moderate
1074,22o_pyramidal16aFI,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1099,23o_spindle16aFI,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,von economo neuron,not reported,dendrites moderate
1075,24o_pyramidal17aFI,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1076,25o_pyramidal18aFI,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1100,25o_spindle17aFI,allman,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 6.3 (february 2016). the pre-6.3 version of the processed file is available for download <a href="" dablefiles/previous/v6.3/allman/25o_spindle17afi.cng.swc "">here</a>.",year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,von economo neuron,not reported,dendrites moderate
1101,26o_spindle18aFI,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,von economo neuron,not reported,dendrites moderate
1102,27o_spindle19aFI,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,von economo neuron,not reported,dendrites moderate
1103,28o_spindle20aFI,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,von economo neuron,not reported,dendrites moderate
1104,28o_spindle21aFI,allman,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 6.3 (february 2016). the pre-6.3 version of the processed file is available for download <a href="" dablefiles/previous/v6.3/allman/28o_spindle21afi.cng.swc "">here</a>.",year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,von economo neuron,not reported,dendrites moderate
1105,29o_spindle22aFI,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,von economo neuron,not reported,dendrites moderate
1106,30o_spindle23aFI,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,von economo neuron,not reported,dendrites moderate
